========================================
REPORTE COMPLETO SISTEMA SITM-MIO
========================================

Estadísticas Generales:
  Total de Nodos: 2119
  Total de Arcos: 3974
  Total de Rutas: 181
  Velocidad Promedio General: 16,33 km/h

Resumen por Rutas:
------------------------------------------------------------
Ruta: P10B-1 | Arcos: 27 | Distancia: 8,93 km | Tiempo: 37,49 min | Velocidad: 14,22 km/h
Ruta: P10B-0 | Arcos: 29 | Distancia: 10,24 km | Tiempo: 40,79 min | Velocidad: 14,83 km/h
Ruta: P12A-0 | Arcos: 68 | Distancia: 21,84 km | Tiempo: 86,94 min | Velocidad: 14,71 km/h
Ruta: P17-1 | Arcos: 7 | Distancia: 8,65 km | Tiempo: 26,37 min | Velocidad: 19,14 km/h
Ruta: P17-0 | Arcos: 10 | Distancia: 10,88 km | Tiempo: 33,64 min | Velocidad: 18,20 km/h
Ruta: A77-1 | Arcos: 19 | Distancia: 4,90 km | Tiempo: 18,48 min | Velocidad: 15,75 km/h
Ruta: A77-0 | Arcos: 11 | Distancia: 3,07 km | Tiempo: 11,97 min | Velocidad: 15,40 km/h
Ruta: P82-0 | Arcos: 35 | Distancia: 10,80 km | Tiempo: 44,79 min | Velocidad: 14,34 km/h
Ruta: A73-1 | Arcos: 19 | Distancia: 5,09 km | Tiempo: 18,96 min | Velocidad: 15,75 km/h
Ruta: P21A-1 | Arcos: 44 | Distancia: 14,27 km | Tiempo: 56,35 min | Velocidad: 14,82 km/h
Ruta: A73-0 | Arcos: 13 | Distancia: 3,57 km | Tiempo: 13,90 min | Velocidad: 15,40 km/h
Ruta: P21A-0 | Arcos: 37 | Distancia: 14,74 km | Tiempo: 55,09 min | Velocidad: 15,30 km/h
Ruta: P82-1 | Arcos: 34 | Distancia: 11,02 km | Tiempo: 45,16 min | Velocidad: 14,53 km/h
Ruta: P80A-1 | Arcos: 22 | Distancia: 6,91 km | Tiempo: 28,59 min | Velocidad: 14,27 km/h
Ruta: P80A-0 | Arcos: 28 | Distancia: 8,94 km | Tiempo: 36,70 min | Velocidad: 14,43 km/h
Ruta: A37A-1 | Arcos: 21 | Distancia: 5,90 km | Tiempo: 22,97 min | Velocidad: 15,40 km/h
Ruta: A12A-1 | Arcos: 12 | Distancia: 3,57 km | Tiempo: 12,75 min | Velocidad: 15,95 km/h
Ruta: A12A-0 | Arcos: 11 | Distancia: 2,39 km | Tiempo: 9,30 min | Velocidad: 15,40 km/h
